"Onderwerpen";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari"
"Onderwerpen";"Naar geslacht";"Naar geslacht";"Naar geslacht";"Naar leeftijd";"Naar leeftijd";"Naar leeftijd";"Naar leeftijd";"Naar leeftijd";"Naar burgerlijke staat";"Naar burgerlijke staat";"Naar burgerlijke staat";"Naar burgerlijke staat";"Naar landsdeel";"Naar landsdeel";"Naar landsdeel";"Naar landsdeel";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten"
"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"0 tot 20 jaar";"20 tot 45 jaar";"45 tot 65 jaar";"65 tot 80 jaar";"80 jaar of ouder";"Ongehuwd";"Gehuwd";"Verweduwd";"Gescheiden";"Noord-Nederland";"Oost-Nederland";"West-Nederland";"Zuid-Nederland";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"0 tot 20 jaar";"20 tot 45 jaar";"45 tot 65 jaar";"65 tot 80 jaar";"80 jaar of ouder";"Ongehuwd";"Gehuwd";"Verweduwd";"Gescheiden";"Noord-Nederland";"Oost-Nederland";"West-Nederland";"Zuid-Nederland";"In gemeenten met < 5 000 inwoners";"In gemeenten met 5 000 tot 20 000 inw...";"In gemeenten met 20 000 tot 50 000 inw..";"In gemeenten met 50 000 tot 100 000 in..";"In gemeenten met 100 000 of meer inw..."
"Perioden";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000"
"1925";"7308";"3629";"3679";"3048";"2616";"1215";"372";"58";".";".";".";".";"1003";"1243";"3791";"1277";"1822";"2102";"1018";"575";"1797"
"1926";"7416";"3683";"3733";"3073";"2664";"1242";"378";"59";".";".";".";".";"1008";"1262";"3840";"1306";"1845";"2135";"1036";"582";"1819"
"1927";"7522";"3735";"3786";"3096";"2712";"1265";"389";"60";".";".";".";".";"1013";"1282";"3899";"1333";"1869";"2168";"1053";"587";"1849"
"1928";"7621";"3785";"3836";"3114";"2760";"1291";"398";"58";".";".";".";".";"1017";"1299";"3951";"1359";"1884";"2156";"1086";"626";"1875"
"1929";"7728";"3838";"3890";"3136";"2812";"1311";"411";"59";".";".";".";".";"1019";"1316";"4007";"1389";"1904";"2182";"1114";"633";"1898"
"1930";"7825";"3886";"3939";"3153";"2862";"1333";"418";"59";".";".";".";".";"1015";"1332";"4060";"1425";"1923";"2203";"1147";"641";"1918"
"1931";"7936";"3943";"3993";"3176";"2910";"1358";"430";"62";"4532";"3037";"335";"31";"1015";"1350";"4122";"1449";"1685";"2385";"910";"794";"2162"
"1932";"8062";"4006";"4055";"3197";"2979";"1383";"440";"63";".";".";".";".";"1023";"1372";"4191";"1476";"1702";"2431";"931";"809";"2189"
"1933";"8183";"4068";"4116";"3210";"3048";"1409";"451";"65";".";".";".";".";"1035";"1394";"4253";"1501";"1724";"2473";"949";"826";"2211"
"1934";"8290";"4124";"4167";"3217";"3108";"1437";"462";"67";".";".";".";".";"1046";"1410";"4309";"1525";"1741";"2509";"966";"841";"2233"
"1935";"8392";"4177";"4215";"3223";"3162";"1464";"474";"69";".";".";".";".";"1057";"1429";"4359";"1547";"1746";"2550";"946";"894";"2257"
"1936";"8475";"4221";"4254";"3237";"3193";"1489";"485";"70";".";".";".";".";"1067";"1445";"4398";"1565";"1763";"2580";"958";"906";"2267"
"1937";"8557";"4264";"4293";"3250";"3221";"1519";"496";"71";".";".";".";".";"1077";"1458";"4440";"1582";"1777";"2609";"971";"919";"2281"
"1938";"8640";"4307";"4332";"3264";"3252";"1543";"508";"72";".";".";".";".";"1083";"1471";"4483";"1602";"1784";"2638";"984";"933";"2301"
"1939";"8729";"4353";"4376";"3290";"3268";"1573";"524";"73";".";".";".";".";"1089";"1484";"4532";"1622";"1794";"2668";"998";"947";"2323"
